key,value
1497262121000,1200.46
1498262121000,1366.42
1499262121000,400.42
1500262121000,1000.58
1501262121000,600.58
1502262121000,500.58
1503262121000,1000.58
1504262121000,10.58
1505262121000,150.58
1506262121000,47.58
1507262121000,561.58
1508262121000,561.58
1509262121000,761.58
1510262121000,261.58
1511262121000,961.58
1512262121000,561.58
1513262121000,61.58
1514262121000,61.58
1515262121000,961.58
1516262121000,61.58
1517262121000,61.58
1518262121000,1061.58
1519262121000,61.58
1520262121000,61.58
1521262121000,61.58
1522262121000,61.58
1523262121000,61.58
1524262121000,61.58
1525262121000,61.58
1526262121000,161.58
1527262121000,101.58
1528262121000,200.58
1529262121000,901.58
1530262121000,94.58
1531262121000,10.58
1532262121000,170.58
1533262121000,10.58
1534262121000,1200.58
1535262121000,500.58
1536262121000,410.58
1537262121000,810.58
1538262121000,610.58
1539262121000,90.58
1540262121000,90.58
1541262121000,1201.46
1542262121000,1367.42
1543262121000,401.42
1544262121000,1001.58
1545262121000,601.58
1546262121000,501.58
1547262121000,1001.58
1548262121000,11.58
1549262121000,151.58
1550262121000,48.58
1551262121000,1201.46
1552262121000,1367.42
1553262121000,401.42
1554262121000,1001.58
1555262121000,601.58
1556262121000,501.58
1557262121000,1001.58
1558262121000,11.58
1559262121000,151.58
1560262121000,48.58
1561262121000,562.58
1562262121000,562.58
1563262121000,762.58
1564262121000,262.58
1565262121000,962.58
1566262121000,1201.46
1567262121000,1367.42
1568262121000,401.42
1569262121000,1001.58
1570262121000,601.58
1571262121000,501.58
1572262121000,1001.58
1573262121000,11.58
1574262121000,151.58
1575262121000,48.58
1576262121000,562.58
1577262121000,562.58
1578262121000,762.58
1579262121000,262.58
1580262121000,962.58
1581262121000,562.58
1582262121000,62.58
1583262121000,62.58
1584262121000,962.58
1585262121000,1201.46
1586262121000,1367.42
1587262121000,1002.58
1588262121000,602.58
1589262121000,502.58
1590262121000,1002.58
1591262121000,12.58
1592262121000,152.58
1593262121000,49.58
1594262121000,563.58
1595262121000,1002.58
1596262121000,602.58
1597262121000,502.58
1598262121000,1002.58
1599262121000,12.58
1600262121000,152.58
1601262121000,49.58
1602262121000,563.58
1603262121000,563.58
1604262121000,763.58
1605262121000,263.58
1606262121000,963.58
1607262121000,563.58
1608262121000,63.58
1609262121000,63.58
1610262121000,963.58
1611262121000,1202.46
1612262121000,1368.42
1613262121000,63.58
1614262121000,63.58
1615262121000,963.58
1616262121000,1202.46
1617262121000,1368.42
1618262121000,1003.58
1619262121000,603.58
1620262121000,503.58
1621262121000,1003.58
1622262121000,13.58
1623262121000,153.58
1624262121000,50.58
1625262121000,564.58
1626262121000,1003.58
1627262121000,603.58
1628262121000,503.58
1629262121000,1003.58
1630262121000,13.58
1631262121000,153.58
1632262121000,50.58
1633262121000,564.58
1634262121000,564.58
1635262121000,764.58
1636262121000,154.58
1637262121000,51.58
1638262121000,565.58
1639262121000,565.58
1640262121000,765.58
1641262121000,155.58
1642262121000,52.58
1643262121000,566.58
1644262121000,566.58
1645262121000,766.58
1646262121000,156.58
1647262121000,53.58
1648262121000,567.58
1649262121000,567.58
1650262121000,767.58
1651262121000,157.58
1652262121000,1004.58
1653262121000,604.58
1654262121000,504.58
1655262121000,1004.58
1656262121000,14.58
1657262121000,154.58
1658262121000,51.58
1659262121000,565.58
1660262121000,565.58
